telefon adı,işletim sistemi,fiyat,bağlantı linki
Huawei P Smart 2021 Geceyarısı Siyahı 128 GB  Akıllı Telefon,Android,3.299 TL,https://www.teknosa.com/huawei-p-smart-2021-geceyarisi-siyahi-128-gb-akilli-telefon-p-125077928
Apple iPhone 11 128GB Purple Akıllı Telefon,IOS,8.199 TL,https://www.teknosa.com/apple-iphone-11-128gb-purple-akilli-telefon-p-125077803
Huawei P Smart 2021 Tutku Yeşili 128 GB Akıllı Telefon,Android,3.299 TL,https://www.teknosa.com/huawei-p-smart-2021-tutku-yesili-128-gb-akilli-telefon-p-125077929
Apple iPhone 12 64GB Blue Akıllı Telefon,IOS,10.999 TL,https://www.teknosa.com/apple-iphone-12-64gb-blue-akilli-telefon-p-125077814
Samsung Galaxy S21+ 5G Phantom Black Akıllı Telefon,Android,12.999 TL,https://www.teknosa.com/samsung-galaxy-s21-5g-phantom-black-akilli-telefon-p-125077976
Apple iPhone 12 Mini 128GB Blue Akıllı Telefon,IOS,9.899 TL,https://www.teknosa.com/apple-iphone-12-mini-128gb-blue-akilli-telefon-p-125077834
Apple iPhone 12 Pro Max 256GB Graphite Akıllı Telefon,IOS,17.999 TL,https://www.teknosa.com/apple-iphone-12-pro-max-256gb-graphite-akilli-telefon-p-125077857
Samsung Galaxy S21 Ultra 5G Phantom Silver Akıllı Telefon,Android,15.999 TL,https://www.teknosa.com/samsung-galaxy-s21-ultra-5g-phantom-silver-akilli-telefon-p-125077983
Apple iPhone SE 128GB Black Akıllı Telefon,IOS,5.399 TL,https://www.teknosa.com/apple-iphone-se-128gb-black-akilli-telefon-p-125077901
Samsung Galaxy S21+ 5G Phantom Silver Akıllı Telefon,Android,12.999 TL,https://www.teknosa.com/samsung-galaxy-s21-5g-phantom-silver-akilli-telefon-p-125077977
Apple iPhone SE 64GB Red Akıllı Telefon,IOS,4.899 TL,https://www.teknosa.com/apple-iphone-se-64gb-red-akilli-telefon-p-125077900
General Mobile GM20 Single Gece Mavisi Akıllı Telefon,Android,1.699 TL,https://www.teknosa.com/general-mobile-gm20-single-gece-mavisi-akilli-telefon-p-125077969
Elephone E10 64GB Mavi Akıllı Telefon,Android,2.699 TL,https://www.teknosa.com/elephone-e10-64gb-mavi-akilli-telefon-p-125077944
Huawei P Smart 2021 Pembe Altın Gold 128 GB Akıllı Telefon,Android,3.299 TL,https://www.teknosa.com/huawei-p-smart-2021-pembe-altin-gold-128-gb-akilli-telefon-p-125077930
Samsung Galaxy S21 5G Phantom Pink Akıllı Telefon,Android,9.999 TL,https://www.teknosa.com/samsung-galaxy-s21-5g-phantom-pink-akilli-telefon-p-125077973
Casper Via E4 32GB Mavi Akıllı Telefon,Android,2.099 TL,https://www.teknosa.com/casper-via-e4-32gb-mavi-akilli-telefon-p-125077966
Samsung Galaxy S21 5G Phantom White Akıllı Telefon,Android,9.999 TL,https://www.teknosa.com/samsung-galaxy-s21-5g-phantom-white-akilli-telefon-p-125077975
Samsung Galaxy A12 Akıllı Telefon Mavi,Android,2.899 TL,https://www.teknosa.com/samsung-galaxy-a12-akilli-telefon-mavi-p-125077996
Apple iPhone 12 Pro Max 128GB Graphite Akıllı Telefon,IOS,16.999 TL,https://www.teknosa.com/apple-iphone-12-pro-max-128gb-graphite-akilli-telefon-p-125077853
Elephone U3H 256GB Mavi Akıllı Telefon,Android,2.999 TL,https://www.teknosa.com/elephone-u3h-256gb-maviakilli-telefon-p-125077942
Elephone PX Pro 128 GB Gri Akıllı Telefon,Android,3.199 TL,https://www.teknosa.com/elephone-px-pro-128-gb-gri-akilli-telefon-p-125077947
Samsung Galaxy S21+ 5G Phantom Violet Akıllı Telefon,Android,12.999 TL,https://www.teknosa.com/samsung-galaxy-s21-5g-phantom-violet-akilli-telefon-p-125077978
Apple iPhone 12 128GB Blue Akıllı Telefon,IOS,11.499 TL,https://www.teknosa.com/apple-iphone-12-128gb-blue-akilli-telefon-p-125077819
Apple iPhone 12 Pro Max 512GB Graphite Akıllı Telefon,IOS,19.999 TL,https://www.teknosa.com/apple-iphone-12-pro-max-512gb-graphite-akilli-telefon-p-125077861
Xiaomi Redmi 9A 32GB Mavi Akıllı Telefon,Android,2.099 TL,https://www.teknosa.com/xiaomi-redmi-9a-32gb-mavi-akilli-telefon-p-125077921
Tecno Spark 128GB Mavi Akıllı Telefon,Android,2.499 TL,https://www.teknosa.com/tecno-spark-128gb-mavi-akilli-telefon-p-125077952
Xiaomi Redmi 9A 32GB Gri Akıllı Telefon,Android,2.099 TL,https://www.teknosa.com/xiaomi-redmi-9a-32gb-gri-akilli-telefon-p-125077920
Xiaomi Redmi 9C 32GB Gri Akıllı Telefon,Android,2.199 TL,https://www.teknosa.com/xiaomi-redmi-9c-32gb-gri-akilli-telefon-p-125077922
Xiaomi Redmi Note 9S 4-64GB Beyaz Akıllı Telefon,Android,3.399 TL,https://www.teknosa.com/xiaomi-redmi-note-9s-464gb-beyaz-akilli-telefon-p-125077619
General Mobile GM20 Pro Dual İnci Beyazı Akıllı Telefon,Android,2.199 TL,https://www.teknosa.com/general-mobile-gm20-pro-dual-inci-beyazi-akilli-telefon-p-125077735
Apple iPhone 11 128GB Red Akıllı Telefon,IOS,8.199 TL,https://www.teknosa.com/apple-iphone-11-128gb-red-akilli-telefon-p-125077801
Xiaomi Redmi 9 4-64GB Yeşil Akıllı Telefon,Android,2.399 TL,https://www.teknosa.com/xiaomi-redmi-9-464gb-yesil-akilli-telefon-p-125077719
Xiaomi Redmi 9 4-64GB Mor Akıllı Telefon,Android,2.399 TL,https://www.teknosa.com/xiaomi-redmi-9-464gb-mor-akilli-telefon-p-125077721
Realme C11 3GB/32GB Mint Yeşili Akıllı Telefon,Android,2.399 TL,https://www.teknosa.com/realme-c11-3gb32gb-mint-yesili-akilli-telefon-p-125077739
Xiaomi Mi 10 8-256GB Gri Akıllı Telefon,Android,10.999 TL,https://www.teknosa.com/xiaomi-mi-10-8256gb-gri-akilli-telefon-p-125077615
Xiaomi Redmi 9 4-64GB Gri Akıllı Telefon,Android,2.399 TL,https://www.teknosa.com/xiaomi-redmi-9-464gb-gri-akilli-telefon-p-125077720
Realme C3i 2GB/32GB Mavi Akıllı Telefon,Android,1.849 TL,https://www.teknosa.com/realme-c3i-2gb32gb-mavi-akilli-telefon-p-125077703
Alcatel 1SE 64 GB Koyu Gri Akıllı Telefon,Android,2.299 TL,https://www.teknosa.com/alcatel-1se-64-gb-koyu-gri-akilli-telefon-p-125077741
General Mobile GM20 Pro Single Lotus Mavi Akıllı Telefon,Android,2.199 TL,https://www.teknosa.com/general-mobile-gm20-pro-single-lotus-mavi-akilli-telefon-p-125077731
General Mobile GM20 Single Yeşim Yeşili Akıllı Telefon,Android,1.699 TL,https://www.teknosa.com/general-mobile-gm20-single-yesim-yesili-akilli-telefon-p-125077726
Oppo Reno 4 Pro 256 GB Galaktik Mavi Akıllı Telefon,Android,5.499 TL,https://www.teknosa.com/oppo-reno-4-pro-256-gb-galaktik-mavi-akilli-telefon-p-125077764
Samsung Galaxy S20FE Lavender Akıllı Telefon,Android,5.699 TL,https://www.teknosa.com/samsung-galaxy-s20fe-lavender-akilli-telefon-p-125077772
General Mobile GM20 Pro Dual Lotus Mavi Akıllı Telefon,Android,2.199 TL,https://www.teknosa.com/general-mobile-gm20-pro-dual-lotus-mavi-akilli-telefon-p-125077734
Apple iPhone 11 64GB White Akıllı Telefon,IOS,7.599 TL,https://www.teknosa.com/apple-iphone-11-64gb-white-akilli-telefon-p-125077794
General Mobile GM20 Pro Single İnci Beyazı Akıllı Telefon,Android,2.199 TL,https://www.teknosa.com/general-mobile-gm20-pro-single-inci-beyazi-akilli-telefon-p-125077732
Realme C11 3GB/32GB Gri Akıllı Telefon,Android,2.399 TL,https://www.teknosa.com/realme-c11-3gb32gb-gri-akilli-telefon-p-125077740
Oppo Reno 4 Pro 256 GB Yıldızlı Gece Akıllı Telefon,Android,5.499 TL,https://www.teknosa.com/oppo-reno-4-pro-256-gb-yildizli-gece-akilli-telefon-p-125077762
Apple iPhone 11 64GB Purple Akıllı Telefon,IOS,7.599 TL,https://www.teknosa.com/apple-iphone-11-64gb-purple-akilli-telefon-p-125077797
Samsung Galaxy S20FE Turuncu Akıllı Telefon,Android,5.699 TL,https://www.teknosa.com/samsung-galaxy-s20fe-turuncu-akilli-telefon-p-125077775
Oppo Reno 4 Lite 128 GB Mat Siyah Akıllı Telefon,Android,3.699 TL,https://www.teknosa.com/oppo-reno-4-lite-128-gb-mat-siyah-akilli-telefon-p-125077758
Samsung Galaxy S20FE White Akıllı Telefon,Android,5.699 TL,https://www.teknosa.com/samsung-galaxy-s20fe-white-akilli-telefon-p-125077777
Alcatel 1SE 64 GB Yeşil Akıllı Telefon,Android,2.299 TL,https://www.teknosa.com/alcatel-1se-64-gb-yesil-akilli-telefon-p-125077742
TCL 10 Plus Uzay Grisi Akıllı Telefon,Android,2.999 TL,https://www.teknosa.com/tcl-10-plus-uzay-grisi-akilli-telefon-p-125077744
Oppo Reno 4 128 GB Uzay Siyahı Akıllı Telefon,Android,4.299 TL,https://www.teknosa.com/oppo-reno-4-128-gb-uzay-siyahi-akilli-telefon-p-125077760
Alcatel 3X 2020 128 GB Koyu Siyah Akıllı Telefon,Android,2.599 TL,https://www.teknosa.com/alcatel-3x-2020-128-gb-koyu-siyah-akilli-telefon-p-125077753
Realme C2 2GB/32GB Mavi Akıllı Telefon,Android,1.999 TL,https://www.teknosa.com/realme-c2-2gb32gb-mavi-akilli-telefon-p-125077745
General Mobile GM20 Single Parlak Siyah Akıllı Telefon,Android,1.699 TL,https://www.teknosa.com/general-mobile-gm20-single-parlak-siyah-akilli-telefon-p-125077724
General Mobile GM20 Pro Dual Akıllı Telefon İnci Siyahı,Android,2.199 TL,https://www.teknosa.com/general-mobile-gm20-pro-dual-akilli-telefon-inci-siyahi-p-125077733
Apple iPhone 11 128GB White Akıllı Telefon,IOS,8.199 TL,https://www.teknosa.com/apple-iphone-11-128gb-white-akilli-telefon-p-125077800
TCL 10 Plus Gece Mavisi Akıllı Telefon,Android,2.999 TL,https://www.teknosa.com/tcl-10-plus-gece-mavisi-akilli-telefon-p-125077743
Realme 7 6GB/64GB Sis Beyazı Akıllı Telefon,Android,3.399 TL,https://www.teknosa.com/realme-7-6gb64gb-sis-beyazi-akilli-telefon-p-125077784
Realme 7 6GB/64GB Sis Mavisi Akıllı Telefon,Android,3.399 TL,https://www.teknosa.com/realme-7-6gb64gb-sis-mavisi-akilli-telefon-p-125077783
Samsung Galaxy S20FE Kırmızı Akıllı Telefon,Android,5.699 TL,https://www.teknosa.com/samsung-galaxy-s20fe-kirmizi-akilli-telefon-p-125077776
Oppo Reno 4 Lite 128 GB Metalik Beyaz Akıllı Telefon,Android,3.699 TL,https://www.teknosa.com/oppo-reno-4-lite-128-gb-metalik-beyaz-akilli-telefon-p-125077759
Samsung Galaxy S20FE Mint Yeşili Akıllı Telefon,Android,5.699 TL,https://www.teknosa.com/samsung-galaxy-s20fe-mint-yesili-akilli-telefon-p-125077774
Apple iPhone 11 64GB Green Akıllı Telefon,IOS,7.599 TL,https://www.teknosa.com/apple-iphone-11-64gb-green-akilli-telefon-p-125077798
Realme C2 2GB/32GB Siyah Akıllı Telefon,Android,1.999 TL,https://www.teknosa.com/realme-c2-2gb32gb-siyah-akilli-telefon-p-125077746
Apple iPhone 11 64GB Red Akıllı Telefon,IOS,7.599 TL,https://www.teknosa.com/apple-iphone-11-64gb-red-akilli-telefon-p-125077795
General Mobile GM20 Pro Single İnci Siyahı Akıllı Telefon,Android,2.199 TL,https://www.teknosa.com/general-mobile-gm20-pro-single-inci-siyahi-akilli-telefon-p-125077730
General Mobile GM20 Single Okyanus Mavi Akıllı Telefon,Android,1.699 TL,https://www.teknosa.com/general-mobile-gm20-single-okyanus-mavi-akilli-telefon-p-125077725
Samsung Galaxy S20FE Navy Akıllı Telefon,Android,5.699 TL,https://www.teknosa.com/samsung-galaxy-s20fe-navy-akilli-telefon-p-125077773
Apple iPhone 11 128GB Black Akıllı Telefon,IOS,8.199 TL,https://www.teknosa.com/apple-iphone-11-128gb-black-akilli-telefon-p-125077799
Alcatel 3X 2020 128 GB Koyu Yeşil Akıllı Telefon,Android,2.599 TL,https://www.teknosa.com/alcatel-3x-2020-128-gb-koyu-yesil-akilli-telefon-p-125077752
Oppo Reno 4 Pro 256 GB İpeksi Beyaz Akıllı Telefon,Android,5.499 TL,https://www.teknosa.com/oppo-reno-4-pro-256-gb-ipeksi-beyaz-akilli-telefon-p-125077763
Apple iPhone 11 64GB Black Akıllı Telefon,IOS,7.599 TL,https://www.teknosa.com/apple-iphone-11-64gb-black-akilli-telefon-p-125077793
Apple iPhone 12 Pro 512GB Graphite Akıllı Telefon,IOS,17.999 TL,https://www.teknosa.com/apple-iphone-12-pro-512gb-graphite-akilli-telefon-p-125077849
